Id,y
45324,6
45325,1
45326,0
45327,1
45328,3
45329,2
45330,4
45331,3
45332,4
45333,6
45334,8
45335,4
45336,1
45337,5
45338,4
45339,8
45340,6
45341,3
45342,4
45343,7
45344,8
45345,2
45346,8
45347,3
45348,8
45349,1
45350,0
45351,1
45352,6
45353,7
45354,1
45355,4
45356,7
45357,3
45358,0
45359,6
45360,6
45361,0
45362,4
45363,8
45364,7
45365,8
45366,7
45367,4
45368,6
45369,2
45370,2
45371,6
45372,1
45373,2
45374,5
45375,8
45376,2
45377,4
45378,6
45379,0
45380,9
45381,9
45382,2
45383,1
45384,8
45385,1
45386,1
45387,6
45388,6
45389,2
45390,3
45391,6
45392,2
45393,0
45394,4
45395,0
45396,6
45397,2
45398,7
45399,5
45400,2
45401,5
45402,8
45403,8
45404,4
45405,0
45406,3
45407,6
45408,9
45409,3
45410,4
45411,1
45412,0
45413,2
45414,0
45415,3
45416,7
45417,3
45418,1
45419,7
45420,9
45421,6
45422,7
45423,1
45424,1
45425,7
45426,5
45427,5
45428,8
45429,1
45430,4
45431,5
45432,4
45433,7
45434,6
45435,5
45436,5
45437,0
45438,3
45439,8
45440,1
45441,6
45442,9
45443,6
45444,1
45445,7
45446,0
45447,2
45448,6
45449,2
45450,6
45451,4
45452,9
45453,2
45454,5
45455,1
45456,1
45457,3
45458,3
45459,3
45460,7
45461,2
45462,0
45463,7
45464,3
45465,9
45466,6
45467,7
45468,7
45469,6
45470,1
45471,0
45472,2
45473,8
45474,1
45475,5
45476,3
45477,5
45478,9
45479,9
45480,6
45481,3
45482,4
45483,0
45484,4
45485,1
45486,0
45487,9
45488,5
45489,5
45490,7
45491,3
45492,8
45493,0
45494,1
45495,2
45496,3
45497,1
45498,9
45499,3
45500,7
45501,2
45502,2
45503,9
45504,2
45505,4
45506,0
45507,3
45508,3
45509,3
45510,3
45511,1
45512,1
45513,9
45514,4
45515,9
45516,7
45517,0
45518,9
45519,3
45520,7
45521,3
45522,3
45523,6
45524,2
45525,2
45526,0
45527,1
45528,2
45529,1
45530,4
45531,3
45532,4
45533,7
45534,2
45535,7
45536,2
45537,7
45538,0
45539,6
45540,6
45541,7
45542,6
45543,3
45544,3
45545,4
45546,0
45547,7
45548,6
45549,9
45550,2
45551,1
45552,2
45553,1
45554,3
45555,5
45556,5
45557,2
45558,3
45559,8
45560,7
45561,6
45562,4
45563,8
45564,4
45565,8
45566,0
45567,0
45568,4
45569,4
45570,1
45571,7
45572,0
45573,0
45574,7
45575,9
45576,9
45577,1
45578,9
45579,6
45580,8
45581,9
45582,8
45583,0
45584,4
45585,6
45586,1
45587,3
45588,6
45589,3
45590,8
45591,4
45592,0
45593,9
45594,3
45595,8
45596,0
45597,3
45598,8
45599,0
45600,3
45601,6
45602,3
45603,6
45604,7
45605,2
45606,4
45607,9
45608,9
45609,8
45610,1
45611,1
45612,1
45613,7
45614,8
45615,2
45616,0
45617,5
45618,1
45619,5
45620,2
45621,3
45622,4
45623,1
45624,5
45625,1
45626,1
45627,8
45628,5
45629,1
45630,6
45631,2
45632,8
45633,7
45634,7
45635,5
45636,9
45637,4
45638,8
45639,9
45640,8
45641,7
45642,3
45643,5
45644,5
45645,1
45646,8
45647,3
45648,4
45649,3
45650,3
45651,3
45652,2
45653,7
45654,2
45655,7
45656,7
45657,4
45658,0
45659,1
45660,3
45661,7
45662,3
45663,4
45664,3
45665,3
45666,3
45667,9
45668,3
45669,8
45670,7
45671,3
45672,0
45673,5
45674,9
45675,0
45676,2
45677,9
45678,4
45679,3
45680,9
45681,1
45682,7
45683,1
45684,6
45685,5
45686,7
45687,1
45688,1
45689,9
45690,2
45691,7
45692,1
45693,3
45694,0
45695,7
45696,3
45697,2
45698,7
45699,4
45700,2
45701,5
45702,0
45703,8
45704,9
45705,2
45706,0
45707,8
45708,2
45709,5
45710,5
45711,6
45712,7
45713,9
45714,1
45715,1
45716,3
45717,0
45718,9
45719,7
45720,1
45721,9
45722,9
45723,3
45724,9
45725,1
45726,3
45727,0
45728,8
45729,6
45730,9
45731,4
45732,7
45733,1
45734,6
45735,9
45736,3
45737,0
45738,2
45739,2
45740,0
45741,0
45742,6
45743,8
45744,6
45745,2
45746,9
45747,1
45748,0
45749,8
45750,8
45751,3
45752,3
45753,1
45754,6
45755,7
45756,4
45757,1
45758,7
45759,3
45760,8
45761,6
45762,2
45763,8
45764,5
45765,4
45766,2
45767,9
45768,2
45769,8
45770,6
45771,9
45772,4
45773,1
45774,3
45775,7
45776,4
45777,2
45778,2
45779,3
45780,9
45781,9
45782,9
45783,3
45784,8
45785,3
45786,3
45787,2
45788,8
45789,4
