Id,y
30000,0
30001,0
30002,0
30003,1
30004,0
30005,0
30006,7
30007,0
30008,0
30009,0
30010,0
30011,0
30012,1
30013,0
30014,0
30015,5
30016,6
30017,0
30018,0
30019,7
30020,8
30021,0
30022,0
30023,0
30024,0
30025,0
30026,0
30027,1
30028,0
30029,0
30030,0
30031,4
30032,0
30033,0
30034,0
30035,0
30036,0
30037,0
30038,4
30039,8
30040,7
30041,8
30042,0
30043,4
30044,0
30045,2
30046,0
30047,0
30048,1
30049,0
30050,0
30051,9
30052,7
30053,0
30054,2
30055,0
30056,9
30057,9
30058,0
30059,1
30060,0
30061,1
30062,5
30063,0
30064,0
30065,2
30066,0
30067,0
30068,7
30069,0
30070,4
30071,0
30072,0
30073,4
30074,0
30075,0
30076,9
30077,0
30078,0
30079,8
30080,4
30081,0
30082,0
30083,0
30084,0
30085,3
30086,0
30087,1
30088,0
30089,2
30090,0
30091,2
30092,0
30093,5
30094,0
30095,0
30096,9
30097,0
30098,7
30099,0
30100,1
30101,0
30102,5
30103,0
30104,8
30105,0
30106,4
30107,5
30108,0
30109,7
30110,0
30111,5
30112,0
30113,0
30114,3
30115,8
30116,1
30117,6
30118,5
30119,0
30120,0
30121,7
30122,0
30123,1
30124,6
30125,2
30126,4
30127,4
30128,0
30129,6
30130,5
30131,0
30132,1
30133,0
30134,0
30135,0
30136,7
30137,0
30138,0
30139,0
30140,3
30141,9
30142,0
30143,7
30144,0
30145,0
30146,0
30147,0
30148,2
30149,8
30150,1
30151,5
30152,3
30153,0
30154,0
30155,0
30156,0
30157,3
30158,0
30159,0
30160,0
30161,0
30162,0
30163,0
30164,5
30165,5
30166,2
30167,0
30168,0
30169,0
30170,0
30171,6
30172,8
30173,1
30174,0
30175,3
30176,7
30177,0
30178,7
30179,0
30180,0
30181,9
30182,0
30183,0
30184,3
30185,9
30186,0
30187,0
30188,1
30189,0
30190,0
30191,0
30192,0
30193,0
30194,0
30195,0
30196,9
30197,0
30198,0
30199,0
30200,5
30201,1
30202,0
30203,0
30204,0
30205,1
30206,0
30207,0
30208,4
30209,0
30210,0
30211,7
30212,0
30213,0
30214,0
30215,1
30216,0
30217,7
30218,0
30219,3
30220,0
30221,0
30222,0
30223,7
30224,0
30225,9
30226,0
30227,0
30228,0
30229,0
30230,2
30231,5
30232,0
30233,0
30234,0
30235,8
30236,7
30237,0
30238,0
30239,0
30240,4
30241,8
30242,0
30243,0
30244,4
30245,4
30246,1
30247,0
30248,0
30249,0
30250,0
30251,0
30252,9
30253,1
30254,0
30255,0
30256,0
30257,9
30258,1
30259,0
30260,4
30261,0
30262,0
30263,0
30264,0
30265,0
30266,0
30267,0
30268,0
30269,9
30270,3
30271,0
30272,0
30273,0
30274,0
30275,0
30276,0
30277,0
30278,0
30279,6
30280,0
30281,2
30282,0
30283,9
30284,9
30285,1
30286,1
30287,1
30288,0
30289,0
30290,0
30291,5
30292,0
30293,6
30294,0
30295,9
30296,0
30297,0
30298,0
30299,0
30300,0
30301,1
30302,0
30303,8
30304,0
30305,1
30306,0
30307,2
30308,0
30309,0
30310,0
30311,0
30312,0
30313,0
30314,0
30315,0
30316,8
30317,0
30318,3
30319,0
30320,5
30321,0
30322,0
30323,1
30324,4
30325,0
30326,3
30327,5
30328,9
30329,0
30330,1
30331,7
30332,0
30333,0
30334,0
30335,0
30336,0
30337,0
30338,4
30339,5
30340,0
30341,3
30342,3
30343,0
30344,2
30345,0
30346,7
30347,3
30348,0
30349,5
30350,0
30351,0
30352,0
30353,1
30354,4
30355,5
30356,0
30357,0
30358,0
30359,1
30360,0
30361,0
30362,0
30363,1
30364,0
30365,9
30366,2
30367,0
30368,0
30369,0
30370,0
30371,7
30372,0
30373,0
30374,2
30375,0
30376,0
30377,5
30378,0
30379,8
30380,0
30381,0
30382,0
30383,0
30384,0
30385,0
30386,5
30387,6
30388,7
30389,9
30390,0
30391,1
30392,0
30393,0
30394,0
30395,7
30396,1
30397,0
30398,9
30399,0
30400,0
30401,0
30402,0
30403,0
30404,8
30405,0
30406,9
30407,0
30408,0
30409,0
30410,0
30411,9
30412,0
30413,0
30414,7
30415,5
30416,0
30417,0
30418,0
30419,0
30420,1
30421,0
30422,0
30423,0
30424,0
30425,0
30426,8
30427,3
30428,0
30429,0
30430,0
30431,7
30432,0
30433,0
30434,0
30435,3
30436,0
30437,0
30438,7
30439,0
30440,0
30441,0
30442,4
30443,0
30444,0
30445,0
30446,0
30447,9
30448,0
30449,1
30450,0
30451,0
30452,0
30453,8
30454,2
30455,5
30456,0
30457,8
30458,0
30459,3
30460,8
30461,0
30462,3
30463,0
30464,8
30465,4
30466,0
30467,0
30468,0
30469,0
30470,0
30471,9
30472,8
30473,3
30474,0
30475,4
30476,2
30477,2
30478,9
30479,3
30480,1
30481,0
30482,0
30483,7
30484,0
30485,4
30486,7
30487,0
30488,0
30489,7
30490,7
30491,7
30492,0
30493,9
30494,5
30495,0
30496,9
30497,0
30498,0
30499,0
30500,0
30501,9
30502,4
30503,0
30504,0
30505,0
30506,9
30507,0
30508,0
30509,0
30510,0
30511,0
30512,0
30513,5
30514,0
30515,5
30516,6
30517,0
30518,0
30519,1
30520,0
30521,0
30522,0
30523,0
30524,0
30525,0
30526,2
30527,0
30528,0
30529,0
30530,5
30531,0
30532,0
30533,0
30534,0
30535,0
30536,0
30537,0
30538,0
30539,0
30540,1
30541,0
30542,0
30543,0
30544,0
30545,0
30546,0
30547,0
30548,7
30549,0
30550,7
30551,9
30552,0
30553,1
30554,0
30555,0
30556,9
30557,0
30558,0
30559,2
30560,0
30561,0
30562,0
30563,0
30564,0
30565,9
30566,1
30567,6
30568,5
30569,0
30570,0
30571,0
30572,4
30573,0
30574,0
30575,0
30576,0
30577,0
30578,9
30579,0
30580,0
30581,0
30582,5
30583,0
30584,0
30585,0
30586,9
30587,7
30588,0
30589,0
30590,0
30591,1
30592,0
30593,3
30594,0
30595,0
30596,8
30597,0
30598,6
30599,0
30600,0
30601,0
30602,0
30603,0
30604,0
30605,2
30606,0
30607,6
30608,3
30609,4
30610,0
30611,3
30612,3
30613,0
30614,3
30615,9
30616,5
30617,0
30618,0
30619,0
30620,8
30621,0
30622,0
30623,0
30624,0
30625,0
30626,0
30627,0
30628,0
30629,0
30630,1
30631,0
30632,0
30633,0
30634,0
30635,0
30636,0
30637,0
30638,3
30639,1
30640,0
30641,3
30642,0
30643,7
30644,0
30645,0
30646,7
30647,0
30648,0
30649,0
30650,7
30651,8
30652,1
30653,0
30654,0
30655,0
30656,1
30657,0
30658,5
30659,5
30660,0
30661,5
30662,0
30663,0
30664,6
30665,0
30666,0
30667,1
30668,7
30669,0
30670,9
30671,0
30672,0
30673,9
30674,0
30675,0
30676,0
30677,0
30678,1
30679,8
30680,0
30681,9
30682,0
30683,0
30684,0
30685,0
30686,1
30687,0
30688,0
30689,5
30690,0
30691,7
30692,5
30693,0
30694,0
30695,0
30696,0
30697,0
30698,9
30699,0
30700,7
30701,3
30702,0
30703,7
30704,0
30705,2
30706,3
30707,3
30708,0
30709,8
30710,0
30711,0
30712,2
30713,4
30714,0
30715,0
30716,8
30717,0
30718,2
30719,0
30720,1
30721,0
30722,6
30723,5
30724,7
30725,0
30726,4
30727,0
30728,0
30729,0
30730,9
30731,4
30732,9
30733,8
30734,2
30735,9
30736,8
30737,1
30738,0
30739,0
30740,2
30741,5
30742,0
30743,0
30744,8
30745,0
30746,9
30747,0
30748,0
30749,8
30750,4
30751,5
30752,2
30753,0
30754,0
30755,1
30756,0
30757,0
30758,0
30759,5
30760,0
30761,8
30762,0
30763,1
30764,0
30765,0
30766,0
30767,0
30768,0
30769,0
30770,1
30771,0
30772,7
30773,0
30774,1
30775,0
30776,7
30777,0
30778,2
30779,3
30780,6
30781,4
30782,0
30783,0
30784,6
30785,0
30786,0
30787,2
30788,3
30789,5
30790,0
30791,0
30792,9
30793,0
30794,7
30795,5
30796,7
30797,0
30798,0
30799,9
30800,4
30801,7
30802,0
30803,0
30804,0
30805,0
30806,1
30807,0
30808,4
30809,0
30810,0
30811,0
30812,0
30813,0
30814,0
30815,0
30816,0
30817,0
30818,2
30819,0
30820,6
30821,0
30822,1
30823,0
30824,0
30825,0
30826,0
30827,0
30828,0
30829,2
30830,4
30831,0
30832,0
30833,8
30834,0
30835,2
30836,0
30837,0
30838,0
30839,0
30840,0
30841,5
30842,6
30843,0
30844,6
30845,0
30846,0
30847,0
30848,0
30849,0
30850,0
30851,0
30852,3
30853,0
30854,0
30855,4
30856,0
30857,0
30858,3
30859,8
30860,0
30861,0
30862,0
30863,0
30864,0
30865,4
30866,3
30867,0
30868,0
30869,7
30870,0
30871,0
30872,0
30873,3
30874,0
30875,0
30876,0
30877,3
30878,0
30879,0
30880,0
30881,0
30882,0
30883,0
30884,0
30885,1
30886,0
30887,5
30888,0
30889,4
30890,0
30891,0
30892,0
30893,0
30894,1
30895,7
30896,0
30897,0
30898,0
30899,0
30900,5
30901,2
30902,0
30903,0
30904,0
30905,0
30906,0
30907,0
30908,9
30909,0
30910,0
30911,0
30912,0
30913,1
30914,1
30915,5
30916,1
30917,0
30918,0
30919,0
30920,0
30921,0
30922,8
30923,0
30924,9
30925,0
30926,0
30927,0
30928,0
30929,9
30930,0
30931,0
30932,0
30933,7
30934,0
30935,0
30936,0
30937,0
30938,2
30939,0
30940,0
30941,7
30942,0
30943,0
30944,0
30945,0
30946,0
30947,3
30948,7
30949,1
30950,8
30951,9
30952,7
30953,0
30954,0
30955,0
30956,9
30957,0
30958,0
30959,0
30960,0
30961,0
30962,0
30963,2
30964,0
30965,1
30966,6
30967,0
30968,6
30969,0
30970,0
30971,0
30972,0
30973,3
30974,6
30975,8
30976,0
30977,5
30978,4
30979,0
30980,9
30981,0
30982,1
30983,8
30984,9
30985,0
30986,1
30987,4
30988,0
30989,0
30990,0
30991,0
30992,6
30993,8
30994,0
30995,0
30996,0
30997,4
30998,0
30999,0
31000,0
31001,0
31002,0
31003,0
31004,9
31005,0
31006,0
31007,4
31008,0
31009,0
31010,0
31011,5
31012,0
31013,3
31014,6
31015,0
31016,7
31017,3
31018,0
31019,0
31020,0
31021,8
31022,4
31023,0
31024,8
31025,9
31026,0
31027,2
31028,5
31029,7
31030,0
31031,0
31032,0
31033,9
31034,0
31035,0
31036,9
31037,1
31038,0
31039,8
31040,0
31041,9
31042,5
31043,2
31044,0
31045,1
31046,0
31047,0
31048,9
31049,0
31050,9
31051,3
31052,0
31053,1
31054,5
31055,0
31056,0
31057,4
31058,7
31059,0
31060,7
31061,0
31062,6
31063,0
31064,0
31065,1
31066,0
31067,5
31068,4
31069,0
31070,0
31071,9
31072,0
31073,0
31074,0
31075,1
31076,0
31077,9
31078,1
31079,0
31080,6
31081,6
31082,0
31083,8
31084,0
31085,0
31086,1
31087,0
31088,2
31089,0
31090,0
31091,0
31092,0
31093,9
31094,7
31095,0
31096,0
31097,0
31098,0
31099,0
31100,0
31101,1
31102,0
31103,0
31104,2
31105,0
31106,3
31107,6
31108,0
31109,0
31110,0
31111,7
31112,0
31113,0
31114,0
31115,0
31116,0
31117,8
31118,6
31119,0
31120,5
31121,9
31122,7
31123,0
31124,0
31125,1
31126,0
31127,0
31128,2
31129,9
31130,5
31131,3
31132,0
31133,4
31134,0
31135,0
31136,0
31137,0
31138,8
31139,0
31140,6
31141,0
31142,0
31143,0
31144,7
31145,0
31146,5
31147,0
31148,2
31149,1
31150,0
31151,0
31152,0
31153,0
31154,0
31155,0
31156,0
31157,0
31158,0
31159,0
31160,4
31161,1
31162,0
31163,0
31164,0
31165,3
31166,0
31167,0
31168,0
31169,4
31170,0
31171,4
31172,2
31173,0
31174,0
31175,1
31176,4
31177,0
31178,9
31179,0
31180,5
31181,0
31182,0
31183,9
31184,7
31185,0
31186,5
31187,0
31188,0
31189,7
31190,9
31191,5
31192,0
31193,0
31194,0
31195,1
31196,7
31197,0
31198,4
31199,0
31200,3
31201,0
31202,0
31203,0
31204,0
31205,4
31206,9
31207,2
31208,7
31209,7
31210,1
31211,0
31212,0
31213,0
31214,6
31215,6
31216,0
31217,1
31218,8
31219,1
31220,8
31221,0
31222,8
31223,1
31224,7
31225,9
31226,0
31227,0
31228,8
31229,0
31230,0
31231,2
31232,0
31233,4
31234,0
31235,7
31236,0
31237,0
31238,0
31239,0
31240,7
31241,1
31242,0
31243,0
31244,3
31245,0
31246,0
31247,0
31248,5
31249,5
31250,1
31251,0
31252,0
31253,0
31254,0
31255,2
31256,9
31257,5
31258,0
31259,1
31260,6
31261,0
31262,5
31263,7
31264,6
31265,7
31266,7
31267,0
31268,0
31269,0
31270,1
31271,9
31272,0
31273,0
31274,9
31275,0
31276,0
31277,0
31278,0
31279,0
31280,0
31281,0
31282,6
31283,0
31284,0
31285,0
31286,0
31287,6
31288,0
31289,8
31290,1
31291,7
31292,0
31293,4
31294,0
31295,0
31296,0
31297,1
31298,0
31299,0
31300,0
31301,0
31302,8
31303,0
31304,0
31305,0
31306,0
31307,0
31308,0
31309,8
31310,0
31311,0
31312,0
31313,0
31314,3
31315,0
31316,0
31317,4
31318,1
31319,0
31320,1
31321,0
31322,0
31323,5
31324,0
31325,0
31326,0
31327,3
31328,0
31329,8
31330,2
31331,0
31332,5
31333,0
31334,3
31335,0
31336,0
31337,0
31338,0
31339,9
31340,5
31341,0
31342,0
31343,1
31344,0
31345,3
31346,1
31347,0
31348,0
31349,1
31350,0
31351,6
31352,6
31353,7
31354,0
31355,4
31356,0
31357,8
31358,9
31359,0
31360,0
31361,1
31362,0
31363,6
31364,0
31365,2
31366,8
31367,5
31368,7
31369,5
31370,0
31371,0
31372,0
31373,0
31374,0
31375,0
31376,0
31377,0
31378,0
31379,0
31380,0
31381,0
31382,0
31383,0
31384,7
31385,0
31386,7
31387,4
31388,4
31389,0
31390,4
31391,0
31392,9
31393,0
31394,0
31395,5
31396,4
31397,0
31398,7
31399,1
31400,9
31401,0
31402,4
31403,0
31404,4
31405,1
31406,0
31407,0
31408,5
31409,0
31410,0
31411,8
31412,9
31413,0
31414,1
31415,8
31416,0
31417,0
31418,5
31419,0
31420,0
31421,2
31422,6
31423,5
31424,0
31425,4
31426,0
31427,0
31428,6
31429,0
31430,3
31431,0
31432,1
31433,0
31434,5
31435,4
31436,6
31437,1
31438,1
31439,9
31440,0
31441,7
31442,3
31443,5
31444,9
31445,5
31446,0
31447,2
31448,9
31449,0
31450,2
31451,0
31452,3
31453,3
31454,0
31455,0
31456,9
31457,0
31458,3
31459,1
31460,0
31461,4
31462,5
31463,7
31464,0
31465,0
31466,4
31467,9
31468,2
31469,0
31470,0
31471,7
31472,0
31473,9
31474,5
31475,0
31476,1
31477,0
31478,0
31479,9
31480,0
31481,0
31482,3
31483,0
31484,3
31485,0
31486,8
31487,0
31488,0
31489,0
31490,0
31491,0
31492,4
31493,0
31494,0
31495,0
31496,6
31497,0
31498,6
31499,9
31500,1
31501,7
31502,0
31503,0
31504,5
31505,1
31506,0
31507,0
31508,0
31509,0
31510,0
31511,9
31512,0
31513,3
31514,0
31515,0
31516,5
31517,0
31518,9
31519,5
31520,0
31521,8
31522,0
31523,0
31524,0
31525,0
31526,4
31527,0
31528,0
31529,0
31530,9
31531,3
31532,9
31533,0
31534,0
31535,0
31536,0
31537,1
31538,0
31539,0
31540,0
31541,0
31542,0
31543,0
31544,0
31545,8
31546,0
31547,4
31548,0
31549,1
31550,0
31551,7
31552,2
31553,0
31554,3
31555,2
31556,0
31557,0
31558,0
31559,9
31560,8
31561,0
31562,0
31563,0
31564,0
31565,5
31566,0
31567,0
31568,0
31569,0
31570,3
31571,0
31572,0
31573,0
31574,0
31575,0
31576,0
31577,3
31578,0
31579,0
31580,0
31581,0
31582,0
31583,0
31584,6
31585,0
31586,0
31587,0
31588,0
31589,4
31590,1
31591,5
31592,0
31593,0
31594,1
31595,0
31596,1
31597,4
31598,0
31599,0
31600,1
31601,0
31602,5
31603,0
31604,1
31605,0
31606,4
31607,0
31608,5
31609,0
31610,1
31611,0
31612,0
31613,0
31614,0
31615,0
31616,1
31617,0
31618,5
31619,7
31620,7
31621,2
31622,4
31623,0
31624,6
31625,0
31626,0
31627,7
31628,0
31629,0
31630,0
31631,0
31632,0
31633,0
31634,0
31635,3
31636,3
31637,5
31638,2
31639,6
31640,0
31641,0
31642,0
31643,1
31644,0
31645,0
31646,0
31647,0
31648,0
31649,0
31650,4
31651,5
31652,5
31653,0
31654,0
31655,0
31656,3
31657,6
31658,9
31659,0
31660,3
31661,1
31662,0
31663,0
31664,0
31665,0
31666,7
31667,6
31668,0
31669,6
31670,4
31671,0
31672,3
31673,0
31674,2
31675,0
31676,9
31677,7
31678,0
31679,0
31680,0
31681,0
31682,7
31683,0
31684,3
31685,9
31686,0
31687,0
31688,5
31689,1
31690,4
31691,0
31692,0
31693,0
31694,3
31695,0
31696,0
31697,4
31698,0
31699,0
31700,0
31701,1
31702,0
31703,6
31704,6
31705,1
31706,0
31707,0
31708,0
31709,4
31710,0
31711,0
31712,0
31713,8
31714,9
31715,7
31716,0
31717,0
31718,0
31719,5
31720,0
31721,7
31722,0
31723,3
31724,7
31725,0
31726,0
31727,0
31728,0
31729,0
31730,0
31731,0
31732,0
31733,0
31734,0
31735,0
31736,0
31737,4
31738,9
31739,0
31740,5
31741,0
31742,0
31743,7
31744,0
31745,9
31746,0
31747,0
31748,0
31749,6
31750,3
31751,0
31752,7
31753,4
31754,1
31755,3
31756,3
31757,0
31758,0
31759,1
31760,4
31761,1
31762,7
31763,2
31764,0
31765,0
31766,0
31767,8
31768,0
31769,2
31770,8
31771,3
31772,1
31773,1
31774,0
31775,0
31776,3
31777,0
31778,8
31779,0
31780,1
31781,0
31782,0
31783,6
31784,3
31785,0
31786,9
31787,0
31788,0
31789,4
31790,3
31791,0
31792,7
31793,0
31794,0
31795,9
31796,0
31797,2
31798,9
31799,0
31800,0
31801,0
31802,0
31803,2
31804,5
31805,0
31806,0
31807,7
31808,0
31809,5
31810,6
31811,0
31812,0
31813,3
31814,2
31815,0
31816,5
31817,1
31818,0
31819,0
31820,0
31821,0
31822,0
31823,2
31824,0
31825,0
31826,4
31827,7
31828,0
31829,8
31830,9
31831,0
31832,5
31833,0
31834,6
31835,1
31836,5
31837,0
31838,0
31839,6
31840,0
31841,2
31842,0
31843,0
31844,0
31845,0
31846,0
31847,3
31848,5
31849,9
31850,0
31851,0
31852,0
31853,2
31854,5
31855,0
31856,0
31857,0
31858,0
31859,0
31860,0
31861,0
31862,9
31863,6
31864,2
31865,0
31866,0
31867,0
31868,0
31869,0
31870,0
31871,6
31872,0
31873,0
31874,0
31875,9
31876,0
31877,4
31878,0
31879,0
31880,0
31881,5
31882,0
31883,8
31884,7
31885,0
31886,9
31887,4
31888,1
31889,0
31890,4
31891,4
31892,0
31893,7
31894,1
31895,8
31896,0
31897,5
31898,0
31899,0
31900,0
31901,0
31902,4
31903,9
31904,5
31905,3
31906,0
31907,0
31908,1
31909,3
31910,0
31911,0
31912,0
31913,1
31914,0
31915,0
31916,7
31917,1
31918,9
